Zeit;Kanal A
(ms);(V)

-5,00009865;0,74710880
-4,99999465;0,70051060
-4,99989065;0,74710880
-4,99978665;0,70051060
-4,99968265;0,74710880
-4,99957865;0,70051060
-4,99947465;0,74710880
-4,99937065;0,74710880
-4,99926665;0,74710880
-4,99916265;0,74710880
-4,99905865;0,74710880
-4,99895465;0,70051060
-4,99885065;0,74710880
-4,99874665;0,74710880
-4,99864265;0,74710880
-4,99853865;0,70051060
-4,99843465;0,74710880
-4,99833065;0,70051060
-4,99822665;0,74710880
-4,99812265;0,74710880
-4,99801865;0,70051060
-4,99791465;0,70051060
-4,99781065;0,70051060
-4,99770665;0,70051060
-4,99760265;0,74710880
-4,99749865;0,70051060
-4,99739465;0,70051060
-4,99729065;0,70051060
-4,99718665;0,74710880
-4,99708265;0,70051060
-4,99697865;0,70051060
-4,99687465;0,70051060
-4,99677065;0,74710880
-4,99666665;0,70051060
-4,99656265;0,70051060
-4,99645865;0,74710880
-4,99635465;0,74710880
-4,99625065;0,74710880
-4,99614665;0,74710880
-4,99604265;0,70051060
-4,99593865;0,74710880
-4,99583465;0,70051060
-4,99573065;0,70051060
-4,99562665;0,70051060
-4,99552265;0,70051060
-4,99541865;0,70051060
-4,99531465;0,70051060
-4,99521065;0,70051060
-4,99510665;0,70051060
-4,99500265;0,70051060
-4,99489865;0,74710880
-4,99479465;0,70051060
-4,99469065;0,74710880
-4,99458665;0,70051060
-4,99448265;0,74710880
-4,99437865;0,70051060
-4,99427465;0,70051060
-4,99417065;0,70051060
-4,99406665;0,70051060
-4,99396265;0,65375860
-4,99385865;0,74710880
-4,99375465;0,70051060
-4,99365065;0,70051060
-4,99354665;0,70051060
-4,99344265;0,74710880
-4,99333865;0,70051060
-4,99323465;0,74710880
-4,99313065;0,70051060
-4,99302665;0,74710880
-4,99292265;0,70051060
-4,99281865;0,70051060
-4,99271465;0,70051060
-4,99261065;0,70051060
-4,99250665;0,70051060
-4,99240265;0,74710880
-4,99229865;0,74710880
-4,99219465;0,74710880
-4,99209065;0,70051060
-4,99198665;0,74710880
-4,99188265;0,70051060
-4,99177865;0,74710880
-4,99167465;0,70051060
-4,99157065;0,79386070
-4,99146665;0,74710880
-4,99136265;0,74710880
-4,99125865;0,70051060
-4,99115465;0,70051060
-4,99105065;0,70051060
-4,99094665;0,70051060
-4,99084265;0,70051060
-4,99073865;0,74710880
-4,99063465;0,70051060
-4,99053065;0,74710880
-4,99042665;0,70051060
-4,99032265;0,70051060
-4,99021865;0,70051060
-4,99011465;0,74710880
-4,99001065;0,70051060
-4,98990665;0,70051060
-4,98980265;0,70051060
-4,98969865;0,70051060
-4,98959465;0,74710880
-4,98949065;0,74710880
-4,98938665;0,70051060
-4,98928265;0,74710880
-4,98917865;0,70051060
-4,98907465;0,74710880
-4,98897065;0,74710880
-4,98886665;0,70051060
-4,98876265;0,70051060
-4,98865865;0,70051060
-4,98855465;0,70051060
-4,98845065;0,74710880
-4,98834665;0,70051060
-4,98824265;0,74710880
-4,98813865;0,70051060
-4,98803465;0,70051060
-4,98793065;0,74710880
