Zeit;Kanal A
(ms);(mV)

-25,00799905;0,55733270
-25,00299905;-0,37155510
-24,99799905;0,18577760
-24,99299905;-0,55733270
-24,98799905;-0,74311020
-24,98299905;-0,92888770
-24,97799905;-1,30044300
-24,97299905;-1,11466500
-24,96799905;-0,74311020
-24,96299905;-0,74311020
-24,95799905;-1,30044300
-24,95299905;-1,67199800
-24,94799905;-0,74311020
-24,94299905;-1,11466500
-24,93799905;-1,48622000
-24,93299905;-0,74311020
-24,92799905;-0,74311020
-24,92299905;-0,18577760
-24,91799905;-0,37155510
-24,91299905;0,74311020
-24,90799905;-0,92888770
-24,90299905;-0,74311020
-24,89799905;-0,74311020
-24,89299905;-0,37155510
-24,88799905;-0,74311020
-24,88299905;-0,37155510
-24,87799905;-0,37155510
-24,87299906;-0,37155510
-24,86799906;-1,11466500
-24,86299906;-1,30044300
-24,85799906;-0,92888770
-24,85299906;-0,74311020
-24,84799906;-1,30044300
-24,84299906;-1,11466500
-24,83799906;-0,74311020
-24,83299906;-1,67199800
-24,82799906;-0,92888770
-24,82299906;-1,67199800
-24,81799906;-1,11466500
-24,81299906;-1,11466500
-24,80799906;-0,55733270
-24,80299906;-1,11466500
-24,79799906;-1,67199800
-24,79299906;-2,22994600
-24,78799906;-2,04355300
-24,78299906;0,37155510
-24,77799906;-1,67199800
-24,77299906;-2,04355300
-24,76799906;-2,22994600
-24,76299906;-2,22994600
-24,75799906;-0,55733270
-24,75299906;-1,48622000
-24,74799906;-2,41572300
-24,74299906;-2,22994600
-24,73799906;-2,22994600
-24,73299906;-3,34461100
-24,72799906;-1,67199800
-24,72299906;-1,30044300
-24,71799906;-1,85777500
-24,71299906;-1,30044300
-24,70799906;-1,11466500
-24,70299906;-2,22994600
-24,69799906;-1,11466500
-24,69299906;-0,92888770
-24,68799906;-1,11466500
-24,68299906;-1,48622000
-24,67799906;-1,48622000
-24,67299906;-2,22994600
-24,66799906;-1,11466500
-24,66299906;-0,92888770
-24,65799906;-1,67199800
-24,65299906;-0,37155510
