Voltage ; Multimeter ; Feinmessgerät ; Pico ; Python RedLabVoltage ; Python RedLab Stufe
1 ; 0.968 ; 1.022 ; 0.9547 ; 1.015625 ; 2256
2 ; 2.011 ; 2.072 ; 2.005 ; 2.060546875 ; 2470
3 ; 3.007 ; 3.075 ; 3.024 ; 3.056640625 ; 2674
4 ; 4.00 ; 4.077 ; 4.028 ; 4.072265625 ; 2882
5 ; 4.91 ; 4.984 ; 5.011 ; 5.068359375 ; 3088
6 ; 5.91 ; 5.987 ; 5.946 ; 5.9765625 ; 3274
7 ; 6.91 ; 6.991 ; 6.921 ; 6.97265625 ; 3478
8 ; 7.95 ; 8.042 ; 7.99 ; 8.02734375 ; 3696
9 ; 8.96 ; 9.046 ; 8.982 ; 9.052734375 ; 3900
10 ; 9.96 ; 10.050 ; 10.02 ; 9.990234375 ; 4094
