Voltage (V);Keithley TRMS 179 (V);Multimeter Voltcraft (V);AD-Wandler (V);PicoScope (V);;Voltage (V);Keithley TRMS 179 (V);Multimeter Voltcraft (V);PicoScope (V)
1,000;1,053;1,050;1,045;1,047;;0,000;0,000;0,000;0,000
2,000;2,062;2,057;2,061;2,057;;0,500;0,493;0,505;0,510
3,000;3,072;3,065;3,066;3,073;;1,000;0,990;1,014;1,020
4,000;4,081;4,070;4,072;4,084;;1,500;1,487;1,520;1,526
5,000;5,093;5,080;5,078;5,125;;2,000;1,986;2,030;2,039
6,000;6,055;6,040;6,054;6,061;;2,500;2,483;2,536;2,543
7,000;7,065;7,040;7,050;7,085;;3,000;2,981;3,042;3,049
8,000;8,075;8,050;8,066;8,110;;3,500;3,481;3,553;3,562
9,000;8,990;8,960;8,975;9,036;;4,000;3,982;4,050;4,068
10,000;9,999;9,970;9,990;10,070;;4,500;4,484;4,570;4,578
;;;;;;5,000;4,976;5,070;5,125
;;;;;;;;;
