Zeit;Kanal A
(ms);(V)

-5,00005965;1,07406500
-4,99995565;1,02731300
-4,99985165;1,12081700
-4,99974765;1,07406500
-4,99964365;1,12081700
-4,99953965;1,02731300
-4,99943565;1,07406500
-4,99933165;1,02731300
-4,99922765;1,07406500
-4,99912365;1,02731300
-4,99901965;1,07406500
-4,99891565;1,07406500
-4,99881165;1,07406500
-4,99870765;1,02731300
-4,99860365;1,07406500
-4,99849965;1,07406500
-4,99839565;1,07406500
-4,99829165;1,07406500
-4,99818765;1,07406500
-4,99808365;1,07406500
-4,99797965;1,07406500
-4,99787565;1,07406500
-4,99777165;1,07406500
-4,99766765;1,02731300
-4,99756365;1,12081700
-4,99745965;1,07406500
-4,99735565;1,07406500
-4,99725165;1,07406500
-4,99714765;1,12081700
-4,99704365;1,07406500
-4,99693965;1,07406500
-4,99683565;1,07406500
-4,99673165;1,07406500
-4,99662765;1,07406500
-4,99652365;1,07406500
-4,99641965;1,02731300
-4,99631565;1,07406500
-4,99621165;1,07406500
-4,99610765;1,07406500
-4,99600365;1,07406500
-4,99589965;1,07406500
-4,99579565;1,07406500
-4,99569165;1,07406500
-4,99558765;1,07406500
-4,99548365;1,07406500
-4,99537965;1,07406500
-4,99527565;1,07406500
-4,99517165;1,02731300
-4,99506765;1,07406500
-4,99496365;1,07406500
-4,99485965;1,07406500
-4,99475565;1,07406500
-4,99465165;1,12081700
-4,99454765;1,02731300
-4,99444365;1,07406500
-4,99433965;1,02731300
-4,99423565;1,07406500
-4,99413165;1,07406500
-4,99402765;1,07406500
-4,99392365;1,07406500
-4,99381965;1,02731300
-4,99371565;1,02731300
-4,99361165;1,12081700
-4,99350765;1,07406500
-4,99340365;1,12081700
-4,99329965;1,07406500
-4,99319565;1,07406500
-4,99309165;1,07406500
-4,99298765;1,07406500
-4,99288365;1,07406500
-4,99277965;1,07406500
-4,99267565;1,02731300
-4,99257165;1,07406500
-4,99246765;1,02731300
-4,99236365;1,07406500
-4,99225965;1,07406500
-4,99215565;1,07406500
-4,99205165;1,07406500
-4,99194765;1,07406500
-4,99184365;1,07406500
-4,99173965;1,07406500
-4,99163565;0,98071480
-4,99153165;1,07406500
-4,99142765;1,07406500
-4,99132365;1,07406500
-4,99121965;1,07406500
-4,99111565;1,07406500
-4,99101165;1,02731300
-4,99090765;1,07406500
-4,99080365;1,02731300
-4,99069965;1,07406500
-4,99059565;1,02731300
-4,99049165;1,12081700
-4,99038765;1,07406500
-4,99028365;1,07406500
-4,99017965;1,07406500
-4,99007565;1,02731300
-4,98997165;1,07406500
-4,98986765;1,02731300
-4,98976365;1,07406500
-4,98965965;1,07406500
-4,98955565;1,07406500
-4,98945165;1,12081700
-4,98934765;1,07406500
-4,98924365;1,07406500
-4,98913965;1,02731300
-4,98903565;1,07406500
-4,98893165;1,07406500
-4,98882765;1,07406500
-4,98872365;1,07406500
-4,98861965;1,07406500
-4,98851565;1,07406500
-4,98841165;1,07406500
-4,98830765;1,07406500
-4,98820365;1,07406500
-4,98809965;1,07406500
-4,98799565;1,07406500
-4,98789165;1,07406500
